day,Hole ID,Depth (m),Neutron Count (MD),Theta
2016-08-26,500,0.4,4360,0.28402
2016-08-26,500,0.7,4717,0.309724
2016-08-26,500,1.01,4460,0.29122000000000003
2016-08-26,500,1.31,4573,0.299356
2016-08-26,500,1.62,4064,0.262708
2016-08-26,500,1.92,4613,0.302236
2016-08-26,501,0.07,1116,0.050452
2016-08-26,501,0.37,4300,0.2797
2016-08-26,501,0.68,4651,0.30497199999999997
2016-08-26,501,0.98,4703,0.30874
2016-08-26,501,1.29,4563,0.298636
2016-08-26,501,1.59,4403,0.287116
2016-08-26,501,1.9,4207,0.27300399999999997
2016-08-26,501,2.2,3840,0.24658000000000002
2016-08-26,501,2.51,4087,0.264364
2016-08-26,501,2.81,4282,0.278404
2016-08-26,501,3.12,4227,0.274444
2016-08-26,501,3.42,4326,0.281572
2016-08-26,501,3.73,4623,0.302956
2016-08-26,501,4.03,5428,0.36091599999999996
2016-08-26,501,4.34,4720,0.30994
2016-08-26,501,4.64,5627,0.375244
2016-08-26,501,4.95,5869,0.39266799999999996
2016-08-26,501,5.25,5788,0.386836
2016-08-26,501,5.56,5610,0.37401999999999996
2016-08-26,501,5.86,5874,0.39302800000000004
2016-08-26,501,6.17,6241,0.41945200000000005
2016-08-26,501,6.47,5608,0.37387600000000004
2016-08-26,501,6.78,5520,0.36754000000000003
2016-08-26,501,7.08,5396,0.358612
2016-08-26,501,7.38,4250,0.2761
2016-08-26,501,7.69,4583,0.300076
2016-08-26,501,7.99,4106,0.265732
2016-08-26,501,8.3,4133,0.267676
2016-08-26,501,8.6,4086,0.264292
2016-08-26,501,8.91,4715,0.30958
2016-08-26,502,0.13,2322,0.09605599999999999
2016-08-26,502,0.44,4877,0.218696
2016-08-26,502,0.74,5103,0.229544
2016-08-26,502,1.05,5941,0.269784
2016-08-26,502,1.35,5558,0.251384
2016-08-26,502,1.66,5398,0.243704
2016-08-26,503,0.2,2780,0.17026
2016-08-26,503,0.5,3679,0.234988
2016-08-26,503,0.81,3839,0.246508
2016-08-26,503,1.11,3812,0.244588
2016-08-26,503,1.42,3937,0.253564
2016-08-26,503,1.72,3929,0.252988
2016-08-26,503,2.03,4016,0.259252
2016-08-26,503,2.33,3743,0.239596
2016-08-26,503,2.64,3745,0.23974
2016-08-26,503,2.94,3997,0.257884
2016-08-26,503,3.25,3703,0.23671599999999998
2016-08-26,503,3.55,3826,0.24557199999999998
2016-08-26,503,3.86,3826,0.24557199999999998
2016-08-26,503,4.16,3767,0.24132399999999998
2016-08-26,503,4.47,3985,0.25701999999999997
2016-08-26,503,4.77,4019,0.259468
2016-08-26,503,5.08,4008,0.258676
2016-08-26,503,5.38,4065,0.26278
2016-08-26,503,5.69,4124,0.26702800000000004
2016-08-26,503,5.99,3928,0.252916
2016-08-26,503,6.3,4208,0.27307600000000004
2016-08-26,503,6.6,4141,0.268252
2016-08-26,503,7.01,4106,0.265732
2016-08-26,503,7.29,4161,0.269692
2016-08-26,503,7.51,4028,0.26011599999999996
2016-08-26,503,7.82,4244,0.27566799999999997
2016-08-26,505,0.21,2974,0.127352
2016-08-26,505,0.51,4184,0.18543199999999999
2016-08-26,505,0.82,3868,0.170264
2016-08-26,505,1.12,4374,0.194568
2016-08-26,505,1.43,4464,0.198872
2016-08-26,505,1.73,4456,0.198488
2016-08-26,505,2.04,4320,0.19196
2016-08-26,505,2.34,4628,0.206744
2016-08-26,505,2.65,4435,0.19748
2016-08-26,505,2.95,4243,0.18826400000000001
2016-08-26,505,3.26,4679,0.20919200000000002
2016-08-26,505,3.56,4512,0.201176
2016-08-26,505,3.87,4613,0.20602399999999998
2016-08-26,505,4.17,4942,0.22181599999999999
2016-08-26,505,4.48,5005,0.22484
2016-08-26,505,4.78,5371,0.24240799999999998
2016-08-26,505,5.09,5225,0.2354
2016-08-26,505,5.39,5239,0.23607199999999998
2016-08-26,505,5.7,5179,0.233192
2016-08-26,505,6.0,5121,0.230408
2016-08-26,506,0.2,3507,0.222604
2016-08-26,506,0.51,4627,0.303244
2016-08-26,506,0.81,4597,0.301084
2016-08-26,506,1.12,4780,0.31430800000000003
2016-08-26,506,1.42,5091,0.336652
2016-08-26,506,1.73,5377,0.357244
2016-08-26,506,2.03,5021,0.33161199999999996
2016-08-26,506,2.34,5316,0.352852
2016-08-26,506,2.64,5346,0.355012
2016-08-26,506,2.95,5482,0.364804
2016-08-26,506,3.25,5851,0.391372
2016-08-26,507,0.21,4426,0.197048
2016-08-26,507,0.51,5504,0.248792
2016-08-26,507,0.82,4785,0.21428000000000003
